participant,groupe,block,Augend,Addend,Response,True,accuracy,rt
10,1,0,F,5,K,t,0,"7,5445219000103"
10,1,0,F,4,K,t+1,1,"7,90850050002337"
10,1,0,C,2,E,t,1,"2,6103429000359"
10,1,0,I,5,N,t,0,"2,21916350000538"
10,1,0,I,4,M,t,0,"5,35470919997897"
10,1,0,I,3,M,t+1,1,"11,1342291000765"
10,1,0,I,2,L,t+1,0,"1,98756109992974"
10,1,0,C,5,I,t+1,1,"7,93975600006525"
10,1,0,F,2,I,t+1,1,"3,96846279990859"
10,1,0,F,3,I,t,0,"8,07435570005328"
10,1,0,C,4,G,t,0,"6,2983980999561"
10,1,0,C,3,G,t+1,1,"10,3033226999687"
10,1,0,F,3,J,t+1,1,"4,97506379999686"
10,1,0,C,3,F,t,1,"4,32929149991833"
10,1,0,C,5,H,t,0,"6,60467629996128"
10,1,0,F,4,J,t,0,"4,01500839996152"
10,1,0,F,2,H,t,0,"8,88765819999389"
10,1,0,F,5,L,t+1,1,"11,766506099957"
10,1,0,I,5,O,t+1,0,"8,94682260008995"
10,1,0,I,4,N,t+1,1,"14,319502600003"
10,1,0,C,4,H,t+1,0,"4,92756089998875"
10,1,0,I,3,L,t,1,"3,11563330003992"
10,1,0,C,2,F,t+1,1,"7,81621049996465"
10,1,0,I,2,K,t,1,"3,35346320003737"
10,1,0,F,4,J,t,0,"15,8281881000148"
10,1,0,C,4,H,t+1,1,"8,57608110003639"
10,1,0,F,2,H,t,0,"5,23600379994605"
10,1,0,F,5,L,t+1,1,"13,5390949000139"
10,1,0,I,3,L,t,1,"8,06593609997071"
10,1,0,I,4,N,t+1,0,"5,03349479997996"
10,1,0,F,3,J,t+1,1,"11,2884849000257"
10,1,0,C,2,F,t+1,1,"3,91229829995427"
10,1,0,I,5,O,t+1,0,"5,07700340007432"
10,1,0,I,2,K,t,1,"8,26729979994707"
10,1,0,C,5,H,t,0,"8,33893709990662"
10,1,0,C,3,F,t,1,"7,05655199999455"
10,1,0,F,2,I,t+1,1,"4,97528560005594"
10,1,0,F,5,K,t,1,"8,74625710002147"
10,1,0,F,4,K,t+1,1,"8,8155297000194"
10,1,0,I,4,M,t,0,"4,67313789995387"
10,1,0,I,3,M,t+1,1,"14,2544259999413"
10,1,0,I,5,N,t,1,"10,4646987000015"
10,1,0,C,3,G,t+1,1,"6,99263800005429"
10,1,0,I,2,L,t+1,1,"4,18806109996513"
10,1,0,C,4,G,t,1,"6,17274329997599"
10,1,0,F,3,I,t,1,"5,9919156000251"
10,1,0,C,5,I,t+1,1,"8,36968320002779"
10,1,0,C,2,E,t,1,"3,46900699997786"
10,1,0,F,3,J,t+1,1,"9,97130730003118"
10,1,0,F,5,L,t+1,1,"9,79063309996854"
10,1,0,C,2,F,t+1,1,"7,25797769997735"
10,1,0,C,5,H,t,1,"5,15387070004363"
10,1,0,I,5,O,t+1,1,"4,94076300004963"
10,1,0,I,4,N,t+1,1,"7,40124580007978"
10,1,0,F,2,H,t,1,"2,57031790004112"
10,1,0,I,2,K,t,1,"3,74835750006605"
10,1,0,C,3,F,t,1,"5,75981399999"
10,1,0,F,4,J,t,0,"4,44250309991185"
10,1,0,C,4,H,t+1,0,"14,1624506999506"
10,1,0,I,3,L,t,1,"6,1838623000076"
10,1,0,I,2,L,t+1,0,"1,67354600003455"
10,1,0,C,2,E,t,1,"4,35185889992863"
10,1,0,C,4,G,t,1,"4,44165870000143"
10,1,0,F,4,K,t+1,1,"6,28135350008961"
10,1,0,F,5,K,t,1,"2,48004920000676"
10,1,0,F,2,I,t+1,1,"5,15031970001292"
10,1,0,C,5,I,t+1,1,"6,20121460000519"
10,1,0,I,3,M,t+1,1,"10,6662032000022"
10,1,0,F,3,I,t,1,"5,44291430001613"
10,1,0,I,4,M,t,1,"10,7387639000081"
10,1,0,I,5,N,t,1,"2,39987609989476"
10,1,0,C,3,G,t+1,1,"3,90428839996457"
10,1,1,I,2,K,t,1,"7,90997460007202"
10,1,1,F,4,J,t,0,"9,49983230000362"
10,1,1,I,4,N,t+1,0,"8,21033040003385"
10,1,1,F,5,L,t+1,1,"6,30086000007577"
10,1,1,C,3,F,t,1,"3,85808779997751"
10,1,1,F,2,H,t,1,"9,24131469998974"
10,1,1,C,2,F,t+1,1,"5,45800390001386"
10,1,1,C,5,H,t,1,"7,75417470000684"
10,1,1,C,4,H,t+1,1,"1,58873089996632"
10,1,1,F,3,J,t+1,1,"10,5738823999418"
10,1,1,I,5,O,t+1,1,"12,5462323999964"
10,1,1,I,3,L,t,1,"5,96771019999869"
10,1,1,F,4,K,t+1,1,"2,81851650006138"
10,1,1,I,4,M,t,1,"5,74572979996447"
10,1,1,F,5,K,t,0,"1,60639359999914"
10,1,1,I,2,L,t+1,0,"9,66983499994967"
10,1,1,C,2,E,t,1,"2,79730640002526"
10,1,1,F,3,I,t,1,"4,48639929993078"
10,1,1,I,5,N,t,1,"7,02856529993005"
10,1,1,I,3,M,t+1,1,"2,46893849992193"
10,1,1,F,2,I,t+1,1,"4,56305170000996"
10,1,1,C,5,I,t+1,1,"5,02187779999804"
10,1,1,C,4,G,t,1,"5,06177390005905"
10,1,1,C,3,G,t+1,1,"1,34864800004289"
10,1,1,C,2,F,t+1,0,"3,28015220002271"
10,1,1,C,5,H,t,1,"4,70111729996279"
10,1,1,F,3,J,t+1,1,"7,73048229992855"
10,1,1,F,4,J,t,1,"2,03174399991985"
10,1,1,F,5,L,t+1,1,"3,5026165000163"
10,1,1,I,4,N,t+1,0,"6,51572160003707"
10,1,1,C,4,H,t+1,1,"7,05701009999029"
10,1,1,C,3,F,t,1,"3,89657640003134"
10,1,1,I,5,O,t+1,1,"8,82944330002647"
10,1,1,I,3,L,t,1,"3,9749570999993"
10,1,1,F,2,H,t,1,"2,95277109998278"
10,1,1,I,2,K,t,1,"8,38724529999308"
10,1,1,C,5,I,t+1,1,"5,69442509999499"
10,1,1,F,2,I,t+1,0,"2,18059240002185"
10,1,1,F,5,K,t,1,"7,48550399998203"
10,1,1,F,4,K,t+1,0,"2,39586220006459"
10,1,1,I,4,M,t,1,"7,62904180004261"
10,1,1,I,2,L,t+1,1,"5,75060050003231"
10,1,1,C,3,G,t+1,1,"3,00921819999348"
10,1,1,I,5,N,t,0,"4,17797820002306"
10,1,1,C,4,G,t,1,"4,20414859999437"
10,1,1,I,3,M,t+1,1,"5,18925549997948"
10,1,1,C,2,E,t,1,"2,21506610000506"
10,1,1,F,3,I,t,1,"4,77508779999334"
10,1,1,F,5,K,t,0,"4,2012482000282"
10,1,1,I,3,M,t+1,1,"12,8661649000133"
10,1,1,I,4,M,t,1,"5,96286749991123"
10,1,1,C,4,G,t,1,"3,13427589996718"
10,1,1,C,5,I,t+1,1,"4,04184209997766"
10,1,1,F,2,I,t+1,1,"2,76865860004909"
10,1,1,F,3,I,t,1,"4,00247199996375"
10,1,1,C,2,E,t,1,"1,7074214000022"
10,1,1,C,3,G,t+1,1,"7,09475629997905"
10,1,1,I,2,L,t+1,1,"5,48533820000012"
10,1,1,I,5,N,t,1,"6,53172929992434"
10,1,1,F,4,K,t+1,1,"3,71191239997279"
10,1,1,F,2,H,t,1,"5,44416600000113"
10,1,1,F,5,L,t+1,1,"12,8523197999457"
10,1,1,C,2,F,t+1,0,"3,48585639998782"
10,1,1,F,3,J,t+1,1,"4,7073156000115"
10,1,1,F,4,J,t,0,"3,3920806000242"
10,1,1,C,5,H,t,1,"10,2408430000069"
10,1,1,C,3,F,t,1,"2,74628950003535"
10,1,1,C,4,H,t+1,1,"11,1969632999972"
10,1,1,I,4,N,t+1,1,"3,82425679999869"
10,1,1,I,5,O,t+1,1,"4,43237699999008"
10,1,1,I,2,K,t,0,"2,53657370002475"
10,1,1,I,3,L,t,1,"8,96257089998107"
10,1,2,I,2,L,t+1,1,"4,97992139996495"
10,1,2,F,5,K,t,1,"4,51863329997286"
10,1,2,F,3,I,t,0,"2,54640529991593"
10,1,2,C,5,I,t+1,1,"7,4058054999914"
10,1,2,F,4,K,t+1,1,"6,11973239993677"
10,1,2,C,2,E,t,1,"2,67604580009356"
10,1,2,I,3,M,t+1,0,"5,57775739999488"
10,1,2,C,3,G,t+1,1,"4,74781460000668"
10,1,2,F,2,I,t+1,1,"4,57591739995405"
10,1,2,C,4,G,t,1,"4,75421959999949"
10,1,2,I,4,M,t,1,"5,32490879995748"
10,1,2,I,5,N,t,1,"2,95372270001099"
10,1,2,I,4,N,t+1,0,"1,57958389993291"
10,1,2,F,5,L,t+1,1,"5,0616369000636"
10,1,2,F,3,J,t+1,0,"2,12481690000277"
10,1,2,C,4,H,t+1,1,"5,83924990007654"
10,1,2,C,3,F,t,1,"2,94377160002478"
10,1,2,I,3,L,t,1,"9,34720029996242"
10,1,2,C,2,F,t+1,1,"3,19074700004421"
10,1,2,C,5,H,t,1,"5,47259180003312"
10,1,2,F,4,J,t,1,"4,12729059997946"
10,1,2,I,5,O,t+1,1,"9,57116880000103"
10,1,2,I,2,K,t,0,"3,39089879998937"
10,1,2,F,2,H,t,1,"3,46351680008229"
10,1,2,I,2,L,t+1,1,"4,51033670001198"
10,1,2,F,4,K,t+1,1,"8,61173220002092"
10,1,2,C,3,G,t+1,1,"3,31726369995158"
10,1,2,C,2,E,t,1,"2,52103269996587"
10,1,2,F,5,K,t,1,"5,96520740003325"
10,1,2,F,3,I,t,0,"6,30389959993772"
10,1,2,C,5,I,t+1,1,"7,4690491000656"
10,1,2,I,3,M,t+1,0,"4,17193369998131"
10,1,2,I,5,N,t,1,"10,8707287999569"
10,1,2,I,4,M,t,0,"5,50280739995651"
10,1,2,C,4,G,t,1,"8,86760500003584"
10,1,2,F,2,I,t+1,1,"6,0357622000156"
10,1,2,F,5,L,t+1,1,"5,53210389998276"
10,1,2,F,3,J,t+1,1,"5,69531520002056"
10,1,2,I,4,N,t+1,1,"5,44553090003319"
10,1,2,I,2,K,t,1,"3,40580759989098"
10,1,2,F,4,J,t,1,"6,90195329999551"
10,1,2,C,3,F,t,1,"6,11516669997945"
10,1,2,F,2,H,t,0,"5,20785330003128"
10,1,2,C,5,H,t,0,"6,88952510000672"
10,1,2,C,2,F,t+1,1,"5,91951849998441"
10,1,2,I,5,O,t+1,0,"6,60448879993055"
10,1,2,C,4,H,t+1,1,"5,93390890001319"
10,1,2,I,3,L,t,1,"19,5625085000647"
10,1,2,I,3,M,t+1,1,"2,41770109999925"
10,1,2,F,5,K,t,1,"3,94430390000343"
10,1,2,F,4,K,t+1,1,"1,25152019993402"
10,1,2,I,2,L,t+1,1,"2,64184629998636"
10,1,2,F,3,I,t,1,"2,52038149989676"
10,1,2,C,5,I,t+1,1,"4,83607499999926"
10,1,2,I,5,N,t,1,"7,04385230003391"
10,1,2,F,2,I,t+1,1,"8,27679789997637"
10,1,2,C,4,G,t,1,"4,53209290001541"
10,1,2,I,4,M,t,1,"5,13521000009496"
10,1,2,C,2,E,t,1,"2,28279289999045"
10,1,2,C,3,G,t+1,1,"2,25623780000024"
10,1,2,I,4,N,t+1,1,"16,3827571999282"
10,1,2,I,3,L,t,1,"3,7161264999304"
10,1,2,F,5,L,t+1,1,"8,08773840009235"
10,1,2,C,3,F,t,1,"2,68753669993021"
10,1,2,C,4,H,t+1,1,"4,05210349999834"
10,1,2,F,4,J,t,0,"4,40302249998786"
10,1,2,F,2,H,t,1,"3,92314140009694"
10,1,2,F,3,J,t+1,1,"1,66361779998988"
