participant,AugendGroup,block,Augend,Addend,Response,True,accuracy,rt,profil
10,1,0,F,5,K,t,0,7544.5219000103,nb
10,1,0,F,4,K,t+-1,1,7908.50050002337,nb
10,1,0,C,2,E,t,1,2610.3429000359,nb
10,1,0,I,5,N,t,0,2219.16350000538,nb
10,1,0,I,4,M,t,0,5354.70919997897,nb
10,1,0,I,3,M,t+-1,1,11134.2291000765,nb
10,1,0,I,2,L,t+-1,0,1987.56109992974,nb
10,1,0,C,5,I,t+-1,1,7939.75600006525,nb
10,1,0,F,2,I,t+-1,1,3968.46279990859,nb
10,1,0,F,3,I,t,0,8074.35570005328,nb
10,1,0,C,4,G,t,0,6298.3980999561,nb
10,1,0,C,3,G,t+-1,1,10303.3226999687,nb
10,1,0,F,3,J,t+-1,1,4975.06379999686,nb
10,1,0,C,3,F,t,1,4329.29149991833,nb
10,1,0,C,5,H,t,0,6604.67629996128,nb
10,1,0,F,4,J,t,0,4015.00839996152,nb
10,1,0,F,2,H,t,0,8887.65819999389,nb
10,1,0,F,5,L,t+-1,1,11766.506099957,nb
10,1,0,I,5,O,t+-1,0,8946.82260008995,nb
10,1,0,I,4,N,t+-1,1,14319.502600003,nb
10,1,0,C,4,H,t+-1,0,4927.56089998875,nb
10,1,0,I,3,L,t,1,3115.63330003992,nb
10,1,0,C,2,F,t+-1,1,7816.21049996465,nb
10,1,0,I,2,K,t,1,3353.46320003737,nb
10,1,0,F,4,J,t,0,15828.1881000148,nb
10,1,0,C,4,H,t+-1,1,8576.08110003639,nb
10,1,0,F,2,H,t,0,5236.00379994605,nb
10,1,0,F,5,L,t+-1,1,13539.0949000139,nb
10,1,0,I,3,L,t,1,8065.93609997071,nb
10,1,0,I,4,N,t+-1,0,5033.49479997996,nb
10,1,0,F,3,J,t+-1,1,11288.4849000257,nb
10,1,0,C,2,F,t+-1,1,3912.29829995427,nb
10,1,0,I,5,O,t+-1,0,5077.00340007432,nb
10,1,0,I,2,K,t,1,8267.29979994707,nb
10,1,0,C,5,H,t,0,8338.93709990662,nb
10,1,0,C,3,F,t,1,7056.55199999455,nb
10,1,0,F,2,I,t+-1,1,4975.28560005594,nb
10,1,0,F,5,K,t,1,8746.25710002147,nb
10,1,0,F,4,K,t+-1,1,8815.5297000194,nb
10,1,0,I,4,M,t,0,4673.13789995387,nb
10,1,0,I,3,M,t+-1,1,14254.4259999413,nb
10,1,0,I,5,N,t,1,10464.6987000015,nb
10,1,0,C,3,G,t+-1,1,6992.63800005429,nb
