"","Subject","session","Ensemble","Addend","Augend","rt","Accuracy","Response","ResponseType","Trial","Block"
"1",10,1,333,3,"J",2927,1,"N","true+1",1,2
"2",10,1,333,5,"H",3927,1,"M","true",2,2
"3",10,1,333,2,"J",3039,1,"L","true",3,2
"4",10,1,333,3,"F",3777,1,"I","true",4,2
"5",10,1,333,5,"I",4787,1,"O","true+1",5,2
"6",10,1,333,4,"H",3998,1,"L","true",6,2
"7",10,1,333,4,"I",4938,1,"M","true",7,2
"8",10,1,333,4,"E",2853,1,"I","true",8,2
"9",10,1,333,2,"J",2946,1,"M","true+1",9,2
"10",10,1,333,3,"G",3301,1,"K","true+1",10,2
"11",10,1,333,2,"G",2455,1,"H","true-1",11,2
"12",10,1,333,4,"E",3671,1,"I","true",12,2
"13",10,1,333,2,"I",2097,1,"K","true",13,2
"14",10,1,333,3,"F",2667,1,"H","true-1",14,2
"15",10,1,333,5,"H",4956,1,"N","true+1",15,2
"16",10,1,333,4,"J",2370,1,"M","true-1",16,2
"17",10,1,333,5,"G",3222,1,"L","true",17,2
"18",10,1,333,4,"I",3795,1,"N","true+1",18,2
"19",10,1,333,2,"I",1567,1,"J","true-1",19,2
"20",10,1,333,3,"H",2938,1,"J","true-1",20,2
"21",10,1,333,3,"E",2164,1,"G","true-1",21,2
"22",10,1,333,4,"H",3409,1,"K","true-1",22,2
"23",10,1,333,3,"H",1403,1,"K","true",23,2
"24",10,1,333,3,"F",5475,1,"J","true+1",25,2
"25",10,1,333,2,"J",4527,1,"L","true",26,2
"26",10,1,333,3,"I",3706,1,"M","true+1",27,2
"27",10,1,333,3,"I",3338,1,"L","true",28,2
"28",10,1,333,2,"E",2985,1,"G","true",29,2
"29",10,1,333,3,"I",2763,1,"K","true-1",30,2
"30",10,1,333,5,"H",4363,1,"L","true-1",31,2
"31",10,1,333,2,"F",2846,1,"G","true-1",32,2
"32",10,1,333,2,"E",2866,1,"H","true+1",33,2
"33",10,1,333,5,"I",3450,1,"M","true-1",34,2
"34",10,1,333,2,"H",2610,1,"J","true",35,2
"35",10,1,333,5,"E",1934,1,"I","true-1",37,2
"36",10,1,333,5,"F",6676,1,"L","true+1",39,2
"37",10,1,333,2,"H",2047,1,"J","true",40,2
"38",10,1,333,4,"G",4714,1,"L","true+1",41,2
"39",10,1,333,3,"J",4092,1,"L","true-1",43,2
"40",10,1,333,3,"J",1918,1,"M","true",44,2
"41",10,1,333,3,"G",5037,1,"I","true-1",45,2
"42",10,1,333,4,"F",6270,1,"J","true",46,2
"43",10,1,333,2,"J",2051,1,"K","true-1",47,2
"44",10,1,333,3,"G",4702,1,"J","true",48,2
"45",10,1,333,4,"E",2685,1,"H","true-1",49,2
"46",10,1,333,2,"E",3041,1,"G","true",50,2
"47",10,1,333,4,"J",3571,1,"O","true+1",51,2
"48",10,1,333,4,"G",3477,1,"J","true-1",52,2
"49",10,1,333,4,"G",5819,1,"K","true",54,2
"50",10,1,333,2,"F",3468,1,"I","true+1",55,2
"51",10,1,333,4,"J",5718,1,"N","true",56,2
"52",10,1,333,3,"H",3367,1,"L","true+1",57,2
"53",10,1,333,3,"E",3843,1,"I","true+1",58,2
"54",10,1,333,5,"E",3535,1,"J","true",60,2
"55",10,1,333,2,"G",2364,1,"I","true",61,2
"56",10,1,333,4,"F",3847,1,"I","true-1",62,2
"57",10,1,333,2,"G",2379,1,"I","true",63,2
"58",10,1,333,2,"F",2425,1,"H","true",64,2
"59",10,1,333,4,"H",6037,1,"M","true+1",65,2
"60",10,1,333,3,"E",3215,1,"H","true",66,2
"61",10,1,333,2,"E",2795,1,"F","true-1",67,2
"62",10,1,333,5,"I",4878,1,"N","true",68,2
"63",10,1,333,2,"I",1568,1,"K","true",69,2
"64",10,1,333,4,"I",5114,1,"L","true-1",70,2
"65",10,1,333,4,"G",4056,1,"K","true",71,2
"66",10,1,333,5,"F",8019,1,"J","true-1",73,2
"67",10,1,333,3,"G",3874,1,"J","true",74,2
"68",10,1,333,2,"H",3251,1,"I","true-1",75,2
"69",10,1,333,5,"F",4949,1,"K","true",77,2
"70",10,1,333,3,"H",3402,1,"K","true",78,2
"71",10,1,333,2,"F",2443,1,"H","true",79,2
"72",10,1,333,4,"I",3370,1,"M","true",80,2
"73",10,1,333,2,"H",3490,1,"K","true+1",82,2
"74",10,1,333,3,"F",4528,1,"I","true",83,2
"75",10,1,333,4,"F",5709,1,"K","true+1",84,2
"76",10,1,333,3,"E",2908,1,"H","true",85,2
"77",10,1,333,4,"F",5146,1,"J","true",86,2
"78",10,1,333,5,"E",5540,1,"K","true+1",87,2
"79",10,1,333,3,"I",2115,1,"L","true",88,2
"80",10,1,333,4,"H",5071,1,"L","true",89,2
"81",10,1,333,3,"J",4019,1,"M","true",91,2
"82",10,1,333,5,"E",4884,1,"J","true",93,2
"83",10,1,333,4,"J",5398,1,"N","true",94,2
"84",10,1,333,5,"F",5286,1,"K","true",95,2
"85",10,1,333,2,"G",3109,1,"J","true+1",96,2
"86",10,1,333,2,"G",2743,1,"I","true",1,3
"87",10,1,333,3,"I",2363,1,"L","true",2,3
"88",10,1,333,4,"F",4013,1,"J","true",5,3
"89",10,1,333,2,"G",1459,1,"H","true-1",6,3
"90",10,1,333,3,"I",2827,1,"K","true-1",7,3
"91",10,1,333,3,"E",3413,1,"I","true+1",8,3
"92",10,1,333,4,"G",3783,1,"J","true-1",9,3
"93",10,1,333,2,"J",2634,1,"M","true+1",10,3
"94",10,1,333,4,"E",3738,1,"I","true",12,3
"95",10,1,333,3,"J",3118,1,"L","true-1",13,3
"96",10,1,333,3,"J",1340,1,"N","true+1",14,3
"97",10,1,333,3,"E",2827,1,"H","true",15,3
"98",10,1,333,3,"E",1356,1,"H","true",16,3
"99",10,1,333,2,"E",1062,1,"H","true+1",17,3
"100",10,1,333,5,"H",3531,1,"N","true+1",18,3
"101",10,1,333,2,"J",3183,1,"K","true-1",19,3
"102",10,1,333,5,"G",5374,1,"K","true-1",20,3
"103",10,1,333,5,"F",3315,1,"K","true",21,3
"104",10,1,333,4,"E",3278,1,"H","true-1",22,3
"105",10,1,333,2,"I",2020,1,"L","true+1",23,3
"106",10,1,333,2,"I",1491,1,"J","true-1",24,3
"107",10,1,333,3,"G",4090,1,"K","true+1",26,3
"108",10,1,333,4,"J",8417,1,"N","true",28,3
"109",10,1,333,4,"E",4900,1,"I","true",29,3
"110",10,1,333,2,"H",1978,1,"J","true",30,3
"111",10,1,333,5,"E",4074,1,"I","true-1",31,3
"112",10,1,333,4,"H",3706,1,"K","true-1",32,3
"113",10,1,333,3,"H",2673,1,"J","true-1",33,3
"114",10,1,333,2,"F",2795,1,"I","true+1",34,3
"115",10,1,333,3,"F",2623,1,"J","true+1",35,3
"116",10,1,333,4,"I",6106,1,"M","true",36,3
"117",10,1,333,4,"F",7958,1,"K","true+1",37,3
"118",10,1,333,3,"H",3388,1,"K","true",38,3
"119",10,1,333,2,"E",1755,1,"F","true-1",39,3
"120",10,1,333,5,"G",5633,1,"M","true+1",40,3
"121",10,1,333,4,"F",8114,1,"J","true",42,3
"122",10,1,333,4,"I",4303,1,"N","true+1",43,3
"123",10,1,333,3,"G",2402,1,"I","true-1",44,3
"124",10,1,333,5,"H",9434,1,"L","true-1",45,3
"125",10,1,333,4,"J",6545,1,"M","true-1",46,3
"126",10,1,333,2,"H",1608,1,"J","true",47,3
"127",10,1,333,4,"H",2377,1,"L","true",48,3
"128",10,1,333,2,"H",1501,1,"I","true-1",49,3
"129",10,1,333,5,"F",4925,1,"L","true+1",50,3
"130",10,1,333,2,"F",1941,1,"G","true-1",51,3
"131",10,1,333,4,"I",2768,1,"L","true-1",52,3
"132",10,1,333,5,"G",5105,1,"L","true",53,3
"133",10,1,333,5,"G",4641,1,"L","true",55,3
"134",10,1,333,4,"J",1238,1,"O","true+1",56,3
"135",10,1,333,3,"G",2902,1,"J","true",57,3
"136",10,1,333,4,"E",4803,1,"J","true+1",58,3
"137",10,1,333,2,"F",2713,1,"H","true",59,3
"138",10,1,333,3,"E",2969,1,"G","true-1",60,3
"139",10,1,333,3,"I",3625,1,"M","true+1",61,3
"140",10,1,333,3,"G",3052,1,"J","true",62,3
"141",10,1,333,2,"G",863,1,"J","true+1",63,3
