"","Subject","session","Ensemble","Addend","Augend","rt","Accuracy","Response","ResponseType","Trial","Block"
"1",1,1,111,4,"I",4177,1,"M","true",1,2
"2",1,1,111,4,"A",2593,1,"E","true",2,2
"3",1,1,111,3,"I",3475,1,"L","true",5,2
"4",1,1,111,2,"K",2502,1,"M","true",6,2
"5",1,1,111,3,"K",2657,1,"N","true",7,2
"6",1,1,111,2,"E",1482,1,"G","true",8,2
"7",1,1,111,3,"A",1991,1,"D","true",9,2
"8",1,1,111,2,"A",1579,1,"C","true",10,2
"9",1,1,111,2,"K",3193,1,"L","true-1",12,2
"10",1,1,111,4,"A",2788,1,"F","true+1",13,2
"11",1,1,111,2,"G",3480,1,"I","true",14,2
"12",1,1,111,2,"K",1341,1,"M","true",15,2
"13",1,1,111,3,"C",3174,1,"F","true",16,2
"14",1,1,111,2,"K",3430,1,"N","true+1",17,2
"15",1,1,111,2,"I",2786,1,"K","true",18,2
"16",1,1,111,4,"I",3589,1,"N","true+1",20,2
"17",1,1,111,3,"G",2528,1,"J","true",21,2
"18",1,1,111,5,"G",4177,1,"M","true+1",22,2
"19",1,1,111,2,"C",2625,1,"E","true",23,2
"20",1,1,111,5,"A",3533,1,"F","true",24,2
"21",1,1,111,2,"I",3693,1,"K","true",25,2
"22",1,1,111,5,"I",4222,1,"N","true",26,2
"23",1,1,111,4,"C",3105,1,"H","true+1",27,2
"24",1,1,111,3,"G",2861,1,"K","true+1",29,2
"25",1,1,111,4,"E",3477,1,"I","true",30,2
"26",1,1,111,2,"I",3411,1,"L","true+1",31,2
"27",1,1,111,4,"G",2924,1,"L","true+1",32,2
"28",1,1,111,5,"E",4994,1,"J","true",33,2
"29",1,1,111,3,"G",2704,1,"J","true",35,2
"30",1,1,111,5,"C",5339,1,"G","true-1",36,2
"31",1,1,111,5,"I",3636,1,"M","true-1",37,2
"32",1,1,111,3,"G",4178,1,"I","true-1",38,2
"33",1,1,111,4,"K",5091,1,"N","true-1",39,2
"34",1,1,111,2,"E",2939,1,"F","true-1",40,2
"35",1,1,111,5,"C",5076,1,"I","true+1",41,2
"36",1,1,111,4,"A",3186,1,"D","true-1",43,2
"37",1,1,111,5,"A",3374,1,"G","true+1",44,2
"38",1,1,111,5,"E",4716,1,"J","true",46,2
"39",1,1,111,3,"E",5954,1,"G","true-1",47,2
"40",1,1,111,4,"E",3358,1,"J","true+1",48,2
"41",1,1,111,5,"E",4747,1,"I","true-1",49,2
"42",1,1,111,5,"E",5471,1,"K","true+1",50,2
"43",1,1,111,5,"C",5266,1,"H","true",51,2
"44",1,1,111,2,"G",2214,1,"H","true-1",52,2
"45",1,1,111,3,"C",3374,1,"E","true-1",53,2
"46",1,1,111,3,"A",3463,1,"D","true",54,2
"47",1,1,111,4,"K",5370,1,"O","true",55,2
"48",1,1,111,5,"C",3891,1,"H","true",56,2
"49",1,1,111,2,"C",2379,1,"E","true",57,2
"50",1,1,111,3,"K",6020,1,"N","true",58,2
"51",1,1,111,2,"A",2756,1,"B","true-1",59,2
"52",1,1,111,2,"G",2498,1,"J","true+1",60,2
"53",1,1,111,3,"A",2795,1,"C","true-1",61,2
"54",1,1,111,5,"A",3334,1,"E","true-1",62,2
"55",1,1,111,2,"E",4266,1,"H","true+1",64,2
"56",1,1,111,5,"A",5149,1,"F","true",65,2
"57",1,1,111,2,"G",2305,1,"I","true",66,2
"58",1,1,111,5,"G",3276,1,"L","true",67,2
"59",1,1,111,4,"G",3226,1,"J","true-1",68,2
"60",1,1,111,2,"A",2261,1,"C","true",69,2
"61",1,1,111,3,"K",4925,1,"O","true+1",70,2
"62",1,1,111,5,"I",7436,1,"N","true",72,2
"63",1,1,111,4,"E",2482,1,"H","true-1",73,2
"64",1,1,111,4,"C",4472,1,"F","true-1",74,2
"65",1,1,111,4,"K",2892,1,"P","true+1",75,2
"66",1,1,111,3,"E",4580,1,"I","true+1",76,2
"67",1,1,111,3,"K",2941,1,"M","true-1",77,2
"68",1,1,111,3,"I",2621,1,"M","true+1",78,2
"69",1,1,111,2,"C",2734,1,"F","true+1",79,2
"70",1,1,111,4,"E",4313,1,"I","true",81,2
"71",1,1,111,5,"I",7349,1,"O","true+1",82,2
"72",1,1,111,3,"E",4016,1,"H","true",83,2
"73",1,1,111,2,"E",1793,1,"G","true",84,2
"74",1,1,111,4,"A",2412,1,"E","true",85,2
"75",1,1,111,3,"C",3860,1,"G","true+1",86,2
"76",1,1,111,2,"I",2861,1,"J","true-1",87,2
"77",1,1,111,2,"A",1605,1,"D","true+1",88,2
"78",1,1,111,4,"I",2659,1,"L","true-1",89,2
"79",1,1,111,4,"G",3108,1,"K","true",90,2
"80",1,1,111,3,"C",3527,1,"F","true",91,2
"81",1,1,111,5,"G",5285,1,"K","true-1",92,2
"82",1,1,111,3,"I",3667,1,"K","true-1",93,2
"83",1,1,111,4,"K",3030,1,"O","true",94,2
"84",1,1,111,4,"G",3201,1,"K","true",95,2
"85",1,1,111,3,"A",2783,1,"E","true+1",96,2
"86",1,1,111,3,"E",4679,1,"I","true+1",1,3
"87",1,1,111,3,"G",2461,1,"K","true+1",2,3
"88",1,1,111,3,"I",3013,1,"L","true",3,3
"89",1,1,111,5,"I",3134,1,"M","true-1",4,3
"90",1,1,111,3,"E",3598,1,"H","true",5,3
"91",1,1,111,5,"C",3884,1,"H","true",6,3
"92",1,1,111,3,"K",2506,1,"N","true",7,3
"93",1,1,111,5,"C",3221,1,"G","true-1",8,3
"94",1,1,111,4,"G",5243,1,"L","true+1",10,3
"95",1,1,111,4,"C",3233,1,"G","true",11,3
"96",1,1,111,2,"A",1602,1,"C","true",13,3
"97",1,1,111,4,"A",3128,1,"D","true-1",14,3
"98",1,1,111,2,"A",1625,1,"B","true-1",15,3
"99",1,1,111,4,"A",2796,1,"F","true+1",16,3
"100",1,1,111,3,"A",1914,1,"D","true",17,3
"101",1,1,111,5,"A",3712,1,"E","true-1",19,3
"102",1,1,111,3,"I",2803,1,"K","true-1",20,3
"103",1,1,111,5,"G",3865,1,"K","true-1",21,3
"104",1,1,111,4,"C",2772,1,"F","true-1",22,3
"105",1,1,111,2,"G",2781,1,"J","true+1",23,3
"106",1,1,111,3,"A",2045,1,"E","true+1",24,3
"107",1,1,111,3,"E",1427,1,"G","true-1",26,3
"108",1,1,111,2,"G",1374,1,"I","true",27,3
"109",1,1,111,4,"K",2727,1,"O","true",28,3
"110",1,1,111,5,"A",3348,1,"F","true",29,3
"111",1,1,111,2,"I",2496,1,"L","true+1",30,3
"112",1,1,111,2,"A",1888,1,"C","true",31,3
"113",1,1,111,4,"C",4097,1,"H","true+1",32,3
"114",1,1,111,3,"I",2201,1,"L","true",33,3
"115",1,1,111,2,"C",3471,1,"E","true",35,3
"116",1,1,111,2,"E",3099,1,"F","true-1",36,3
"117",1,1,111,5,"A",4132,1,"G","true+1",38,3
"118",1,1,111,5,"G",5268,1,"L","true",39,3
"119",1,1,111,2,"C",4576,1,"F","true+1",40,3
"120",1,1,111,3,"K",2216,1,"M","true-1",41,3
"121",1,1,111,4,"E",2625,1,"H","true-1",42,3
"122",1,1,111,4,"I",2428,1,"L","true-1",43,3
"123",1,1,111,5,"I",6895,1,"N","true",44,3
"124",1,1,111,3,"C",3480,1,"E","true-1",45,3
"125",1,1,111,3,"I",5430,1,"M","true+1",46,3
"126",1,1,111,3,"A",1513,1,"C","true-1",47,3
"127",1,1,111,3,"C",3988,1,"F","true",48,3
"128",1,1,111,2,"E",2328,1,"G","true",49,3
"129",1,1,111,5,"I",4373,1,"N","true",50,3
"130",1,1,111,4,"K",2246,1,"N","true-1",51,3
"131",1,1,111,2,"K",2876,1,"M","true",52,3
"132",1,1,111,2,"K",3429,1,"M","true",54,3
"133",1,1,111,2,"K",1297,1,"L","true-1",55,3
"134",1,1,111,4,"A",3060,1,"E","true",57,3
"135",1,1,111,4,"A",3378,1,"E","true",59,3
"136",1,1,111,2,"C",3667,1,"E","true",60,3
"137",1,1,111,2,"E",5199,1,"H","true+1",62,3
"138",1,1,111,2,"K",2069,1,"N","true+1",63,3
"139",1,1,111,5,"I",4416,1,"O","true+1",64,3
"140",1,1,111,4,"G",3977,1,"K","true",65,3
"141",1,1,111,5,"G",3498,1,"M","true+1",66,3
"142",1,1,111,4,"I",2970,1,"M","true",67,3
"143",1,1,111,4,"K",3827,1,"P","true+1",68,3
"144",1,1,111,5,"C",5561,1,"H","true",70,3
"145",1,1,111,4,"E",4135,1,"I","true",71,3
"146",1,1,111,4,"I",3872,1,"M","true",72,3
